Templates,154,580,960,1644,2059,2531,2687,2996,3007,3192,4348,802,424,577,1955,2163b,2165,2347,2401,2461,3171,3690,4052,4156
ERR550643,1.53,1.61,3.12,3.14,1.83,3.38,2.31,4.48,4.97,4.51,3.56,1.96,4.33,3.40,4.47,3.05,2.84,2.89,3.10,2.45,1.94,3.32,5.60,1.39
ERR550658,1.84,2.25,3.24,3.60,1.78,3.63,2.14,3.46,2.89,5.58,2.34,2.10,3.37,3.05,4.28,3.07,3.56,1.88,4.44,1.93,2.54,3.32,5.37,1.60
ERR550670,1.70,1.43,2.55,3.87,2.46,3.26,1.93,4.46,2.95,4.07,3.09,2.75,4.08,3.97,3.21,2.99,2.78,1.70,3.61,2.43,3.61,2.89,6.83,1.77
ERR550724,1.91,1.97,3.15,3.46,2.01,3.63,1.84,4.18,3.08,3.91,2.33,2.30,3.38,4.06,4.71,3.13,3.88,2.24,3.07,1.86,2.30,2.21,6.39,2.05
ERR550738,2.30,1.49,3.94,3.08,2.53,3.38,2.34,4.27,3.29,5.09,3.44,2.62,4.84,3.89,4.23,2.79,2.71,2.35,4.77,2.21,3.69,4.09,6.01,2.19
ERR550739,1.82,1.72,4.03,3.53,2.88,3.61,2.18,6.57,3.16,5.62,3.37,2.29,3.86,3.37,4.64,2.04,2.41,1.35,3.27,1.87,2.88,3.13,5.21,1.91
ERR550779,1.71,2.28,4.63,3.34,1.95,4.46,2.73,4.85,2.37,4.93,3.00,2.37,3.33,3.23,5.25,3.20,1.84,1.70,2.69,2.74,2.56,4.53,5.23,1.81
ERR550782,1.80,1.64,3.15,3.53,2.15,4.25,2.36,4.52,4.23,4.98,2.06,2.79,3.86,3.12,4.53,3.06,3.41,1.77,3.42,2.18,2.90,3.38,5.97,1.60
ERR550887,1.85,1.61,3.35,4.46,2.52,3.90,2.63,3.96,3.42,5.13,2.81,2.16,4.56,4.99,4.60,3.28,2.82,2.33,3.61,2.09,2.69,3.99,5.38,1.86
ERR550910,1.90,1.79,3.17,3.02,2.00,3.36,2.17,4.99,3.16,4.52,2.33,2.34,4.17,4.02,5.18,2.79,3.91,2.01,3.00,1.74,3.19,2.75,4.39,1.66
ERR550927,2.19,1.60,3.45,3.30,2.40,3.41,2.73,5.31,3.09,4.64,2.67,2.61,3.58,4.14,3.55,2.66,2.90,1.23,3.64,1.23,2.98,4.12,4.98,1.60
ERR550940,1.88,1.89,3.70,3.05,2.05,4.90,2.37,5.33,2.01,5.01,2.32,1.34,4.61,4.25,5.17,2.87,3.80,1.77,3.54,2.39,3.20,2.64,5.35,1.81
ERR550946,1.91,1.84,3.57,2.58,2.04,3.87,2.50,5.02,4.04,4.57,2.75,2.32,3.23,4.22,3.83,2.60,2.92,1.66,3.63,2.17,3.22,3.03,4.48,2.07
